PCA1,PCA2
-2.338534298787189,-1.810810544724247
-2.338062867276178,-1.81087466337931
-2.337974601580296,-1.8108514636997357
-2.3370156947076035,-1.8110266714318473
-2.336849836549994,-1.8110211540304693
-2.33663545736673,-1.811026693918097
-2.336520518481529,-1.8110095726995403
-2.336973059974969,-1.810863130336856
-2.33696240129181,-1.8108222450631082
-2.336386689578757,-1.810910127773363
-2.3359152432742327,-1.810974249799669
-2.3356475177123306,-1.8109919466093332
-2.3352512510717833,-1.8110389362015913
-2.33442088503522,-1.8111848512063764
-2.33392278033489,-1.8112550483224583
-2.3340915817602674,-1.8111732665042042
-2.3337486765343884,-1.8112080957479164
-2.3340969375832694,-1.8110854174956907
-2.3339577380639827,-1.8110738249492706
-2.3337918799063733,-1.8110683075478917
-2.3341401411977705,-1.8109456292403987
-2.3347454693679115,-1.8107643688494939
-2.3355302721975852,-1.8105422085981067
-2.3353643992464623,-1.8105366945679708
-2.3356617415079683,-1.8104256200223903
-2.33547162295879,-1.8104256312378817
-2.335257243775526,-1.8104311711255094
-2.3359377661606406,-1.8102327749845797
-2.3366449471840776,-1.8100283036986082
-2.336789502768883,-1.8099520471812491
-2.337496698585833,-1.8097475725240342
-2.3380244197432503,-1.8095839977273027
-2.3380913680728153,-1.8095254268593817
-2.3377217894151006,-1.8095663346193784
-2.3373764568404747,-1.809601717023216
-2.3364951569805066,-1.809759239161155
-2.336278364999492,-1.809765328892931
-2.3355765250055436,-1.8098819545416311
-2.335333060077727,-1.8098941226791594
-2.3353733201819438,-1.809841633698766
-2.335362661498785,-1.809800748425018
-2.335121623919715,-1.8098123634024215
-2.334444044559852,-1.8099234603789849
-2.333101957321035,-1.8101859897617123
-2.332885165340021,-1.810192079493488
-2.332772654046083,-1.81017440505954
-2.332427321228941,-1.8102097875186438
-2.3330326493990814,-1.8100285271277392
-2.3329710568925184,-1.809999248987146
-2.332191624679359,-1.8101335568587757
-2.331768684849493,-1.8101866249120524
-2.3310159258256533,-1.8103148543226644
-2.3322348280513436,-1.8099937686587506
-2.3321489899467243,-1.8099700157637841
-2.3320607240083255,-1.809946816139476
-2.3320743259592525,-1.8099004021935916
-2.3325778012760976,-1.809742352697753
-2.3321306156056587,-1.809800946051923
-2.3322994170310367,-1.8097191642336694
-2.3319565118051577,-1.8097539934773819
-2.33115039136665,-1.8098943832365397
-2.330858419964175,-1.809917605347097
-2.331820255311122,-1.8096551017665963
-2.3324522566705816,-1.8094677629146727
-2.333287978530147,-1.8092339989013733
-2.3329693339383537,-1.8092632994729498
-2.3340354494873434,-1.8089770318372573
